fascicule,n_articles,tokens_prompt,tokens_iptc,tokens_article,tokens_total,cout_prompt_sans_cache,cout_prompt_avec_cache,cout_iptc_sans_cache,cout_iptc_avec_cache,cout_article,cout_completion_min,cout_completion,cout_completion_max,cout_total_sans_cache_min,cout_total_sans_cache,cout_total_sans_cache_max,cout_total_avec_cache_min,cout_total_avec_cache,cout_total_avec_cache_max
4768504,4,540,35100,7470,43110,0.000272,0.000136,0.017548,0.0088,0.003735,9.2e-05,0.000188,0.000328,0.021644,0.02174,0.021885,0.01276,0.012856,0.013
4768768,20,2700,175500,29388,207588,0.00136,0.00068,0.08774,0.044,0.014692,0.00046,0.00094,0.00164,0.104239,0.104719,0.10544,0.059819,0.060299,0.061019
4768900,25,3375,219375,26289,249039,0.0017,0.00085,0.109675,0.055,0.013144,0.000575,0.001175,0.00205,0.12508,0.125676,0.126581,0.069551,0.070151,0.071051
4769030,21,2835,184275,26675,213785,0.001428,0.000714,0.092127,0.0462,0.013337,0.000483,0.000987,0.001722,0.10736,0.107862,0.108623,0.060717,0.061221,0.061977
4773360,42,5670,368550,36338,410558,0.002856,0.001428,0.184254,0.0924,0.018171,0.000966,0.001974,0.003444,0.206216,0.20722,0.208742,0.11293,0.113938,0.11545
4773419,14,1890,122850,29373,154113,0.000952,0.000476,0.061418,0.0308,0.014688,0.000322,0.000658,0.001148,0.077369,0.077704,0.07821,0.046274,0.04661,0.047114
4773420,25,3375,219375,27889,250639,0.0017,0.00085,0.109675,0.055,0.013946,0.000575,0.001175,0.00205,0.125878,0.126476,0.127378,0.070351,0.070951,0.071851
4773421,25,3375,219375,27631,250381,0.0017,0.00085,0.109675,0.055,0.013814,0.000575,0.001175,0.00205,0.125752,0.126348,0.127253,0.070223,0.070823,0.071723
4773529,122,16470,1070550,39756,1126776,0.008296,0.004148,0.535214,0.2684,0.019881,0.002806,0.005734,0.010004,0.566116,0.569033,0.573444,0.295143,0.298071,0.302463
4773609,37,4995,324675,35880,365550,0.002516,0.001258,0.162319,0.0814,0.017938,0.000851,0.001739,0.003034,0.183599,0.184486,0.185823,0.101421,0.102309,0.103641
4773934,33,4455,289575,12719,306749,0.002244,0.001122,0.144771,0.0726,0.006362,0.000759,0.001551,0.002706,0.15411,0.154899,0.156092,0.080814,0.081606,0.082794
