lot_id,fascicule,batch_index,n_articles,tokens_articles,tokens_fixe,tokens_total,tokens_output_min,tokens_output_moyen,tokens_output_max,cout_sans_cache_min,cout_avec_cache_min,cout_sans_cache_moyen,cout_avec_cache_moyen,cout_sans_cache_max,cout_avec_cache_max
305,6711097,3,25,8602,8912,17514,684,1184,1684,0.00978,0.00756,0.01053,0.00831,0.01128,0.00906
306,6711097,4,25,6832,8912,15744,705,1205,1705,0.00893,0.00671,0.00968,0.00746,0.01043,0.00821
307,6711097,5,25,3403,8912,12315,705,1205,1705,0.00722,0.00499,0.00796,0.00574,0.00872,0.00649
308,6711097,6,25,4404,8912,13316,705,1205,1705,0.00772,0.00549,0.00847,0.00624,0.00922,0.00699
309,6716695,0,25,8418,8912,17330,674,1174,1674,0.00968,0.00745,0.01043,0.0082,0.01118,0.00895
310,6716695,1,25,9697,8912,18609,680,1180,1680,0.01032,0.0081,0.01107,0.00885,0.01182,0.0096
311,6716695,2,25,5024,8912,13936,680,1180,1680,0.00799,0.00577,0.00874,0.00652,0.00949,0.00727
312,6716695,3,25,6949,8912,15861,683,1183,1683,0.00895,0.00673,0.00971,0.00748,0.01045,0.00823
313,6716695,4,25,3187,8912,12099,705,1205,1705,0.00711,0.00489,0.00786,0.00564,0.00861,0.00639
314,6716695,5,25,1934,8912,10846,705,1205,1705,0.00648,0.00426,0.00723,0.00501,0.00798,0.00576
315,6716695,6,25,3138,8912,12050,705,1205,1705,0.00708,0.00486,0.00783,0.00561,0.00858,0.00636
316,6716695,7,2,211,8912,9123,61,101,141,0.00465,0.00243,0.00471,0.00249,0.00477,0.00255
